【合租】浦江 浦江丽都 3室主卧,浦江丽都,1229,http://sh.58.com//pinpaigongyu/26962276238383x.shtml,121.543348,31.060384
【合租】月浦 阳光美林 3室主卧,阳光美林,1400,http://sh.58.com//pinpaigongyu/26950608234796x.shtml,121.416585,31.432601
【合租】松江老城 荣乐雅筑 4室主卧,荣乐雅筑,1706,http://sh.58.com//pinpaigongyu/27125578771916x.shtml,121.189325,31.015607
【合租】罗店 宝欣苑一村 3室主卧,宝欣苑一村,1200,http://sh.58.com//pinpaigongyu/26983445637038x.shtml,121.346252,31.392667
【合租】曹路 金群苑 3室次卧,金群苑,1400,http://sh.58.com//pinpaigongyu/26784758604875x.shtml,121.672798,31.270817
【合租】罗店 佳翔苑 2室次卧,佳翔苑,1300,http://sh.58.com//pinpaigongyu/27422225101362x.shtml,121.344193,31.406911
【整租】金桥 金桥佳苑 1室1厅,金桥佳苑,1900,http://sh.58.com//pinpaigongyu/27412809840326x.shtml,121.596161,31.257691
【合租】上海大学 丰宝苑 3室次卧,丰宝苑,1600,http://sh.58.com//pinpaigongyu/26963006773695x.shtml,121.392385,31.315824
【合租】马陆 金沙湾绿地和苑 3室主卧,金沙湾绿地和苑,1600,http://sh.58.com//pinpaigongyu/27005151359922x.shtml,121.275650,31.327910
【合租】嘉定新城 绿洲香润苑 3室次卧,绿洲香润苑,1332,http://sh.58.com//pinpaigongyu/27225006306244x.shtml,121.289655,31.422052
【合租】泗泾 登云苑 2室主卧,登云苑,1140,http://sh.58.com//pinpaigongyu/27280098877007x.shtml,121.262508,31.105942
【合租】川沙 华邦佳苑 3室主卧,华邦佳苑,1600,http://sh.58.com//pinpaigongyu/27158983382455x.shtml,121.719647,31.207791
【合租】顾村 宝顾佳苑 2室主卧,宝顾佳苑,1700,http://sh.58.com//pinpaigongyu/26719003075386x.shtml,121.397502,31.353649
【整租】浦江 浦江人才公寓 1室1厅,【整租】浦江,1700,http://sh.58.com//pinpaigongyu/27360829833798x.shtml,121.528123,31.083408
【合租】唐镇 绿波城 3室主卧,绿波城,1800,http://sh.58.com//pinpaigongyu/27416108425404x.shtml,121.671048,31.215617
【合租】松江新城 紫东新苑 4室次卧,紫东新苑,1419,http://sh.58.com//pinpaigongyu/26852804330307x.shtml,121.215815,31.047408
【合租】川沙 明星花园 3室次卧,明星花园,1300,http://sh.58.com//pinpaigongyu/27005274827820x.shtml,121.716394,31.209032
【合租】嘉定城区 远香舫新苑 3室次卧,远香舫新苑,1100,http://sh.58.com//pinpaigongyu/27107063198790x.shtml,121.262246,31.363238
【合租】南翔 同济融景雅苑 3室次卧,同济融景雅苑,1500,http://sh.58.com//pinpaigongyu/27324572050867x.shtml,121.325616,31.292015
【合租】顾村 新顾村大家园A区 3室主卧,新顾村大家园A区,1600,http://sh.58.com//pinpaigongyu/26949942248892x.shtml,121.413765,31.364674
【合租】嘉定城区 汇景华庭二期 1室主卧,汇景华庭二期,1242,http://sh.58.com//pinpaigongyu/27072867035854x.shtml,121.265300,31.375602
【合租】嘉定城区 叶城三街坊 3室次卧,叶城三街坊,1150,http://sh.58.com//pinpaigongyu/27106371959738x.shtml,121.243386,31.370248
【整租】浦江 景舒苑九村 1室1厅,景舒苑九村,1500,http://sh.58.com//pinpaigongyu/27373763332015x.shtml,121.499579,31.077358
【整租】安亭 新城尚上城 1室1厅,新城尚上城,1990,http://sh.58.com//pinpaigongyu/27318146091066x.shtml,121.18607,31.290333
【整租】华漕 祥宾一村 1室1厅,祥宾一村,1400,http://sh.58.com//pinpaigongyu/27425621474627x.shtml,121.276617,31.24772
【合租】锦秋花园 丰宝苑 3室主卧,丰宝苑,2000,http://sh.58.com//pinpaigongyu/26642714044211x.shtml,121.39038,31.324994
【合租】杨行 和家欣苑D区 2室次卧,和家欣苑D区,1727,http://sh.58.com//pinpaigongyu/27346467975111x.shtml,121.42222,31.368825
【整租】浦江 翌佳国际青年社区 1室1厅,【整租】浦江,1280,http://sh.58.com//pinpaigongyu/27372509355084x.shtml,121.473795,31.106506
【合租】川沙 华川家园 3室次卧,华川家园,1300,http://sh.58.com//pinpaigongyu/26973664084792x.shtml,121.718117,31.187942
【整租】上海交大 翌佳公寓 1室1厅,【整租】上海交大,1280,http://sh.58.com//pinpaigongyu/27351406468027x.shtml,121.423067,31.189670
【合租】杨行 杨泰一村 3室主卧,杨泰一村,1600,http://sh.58.com//pinpaigongyu/26926956801201x.shtml,121.447835,31.379218
【合租】月浦 阳光美林 3室次卧,阳光美林,1432,http://sh.58.com//pinpaigongyu/27090435339578x.shtml,121.416585,31.432601
【整租】浦江 翌佳青年公寓 1室1厅,【整租】浦江,1280,http://sh.58.com//pinpaigongyu/27412837533772x.shtml,121.527855,31.076865
【合租】赵巷 崧文苑 3室次卧,崧文苑,1055,http://sh.58.com//pinpaigongyu/27225219320905x.shtml,121.152402,31.153874
【合租】松江老城 辰丰苑 3室次卧,辰丰苑,1388,http://sh.58.com//pinpaigongyu/27121526667957x.shtml,121.192256,31.016612
【整租】外高桥 南新东园 1室1厅,南新东园,2000,http://sh.58.com//pinpaigongyu/27270867196982x.shtml,121.593652,31.336115
【合租】川沙 心园东苑 1室次卧,心园东苑,1800,http://sh.58.com//pinpaigongyu/27255196094145x.shtml,121.408331267,30.8840832497
【合租】罗店 佳翔苑 3室主卧,佳翔苑,1200,http://sh.58.com//pinpaigongyu/27195500233143x.shtml,121.344193,31.406911
【整租】人民广场 翌佳公寓 1室1厅,【整租】人民广场,1280,http://sh.58.com//pinpaigongyu/27404471203642x.shtml,121.475190,31.228833
【整租】浦江 V领地青年公寓 1室1厅,【整租】浦江,1550,http://sh.58.com//pinpaigongyu/27392732149709x.shtml,121.473795,31.106506
【合租】嘉定城区 练祁佳城同盛园 3室次卧,练祁佳城同盛园,1000,http://sh.58.com//pinpaigongyu/26951877329475x.shtml,121.218552,31.387286
【合租】泗泾 紫薇茗庭 3室主卧,紫薇茗庭,1450,http://sh.58.com//pinpaigongyu/26952035708233x.shtml,121.254648,31.099238
